time_s,x,y,z,reward,collision,success,attack
0.0,500.0,500.0,-1.4960286617279053,0.0,False,True,False
0.11,500.0006103515625,500.00042724609375,-1.4477739334106445,0.0,False,True,False
0.22,500.0093078613281,500.0061340332031,-1.3859881162643433,0.0,False,True,False
0.33,500.0387268066406,500.02490234375,-1.3306764364242554,0.0,False,True,False
0.44,500.0947265625,500.06036376953125,-1.295466423034668,0.0,False,True,False
0.55,500.1769714355469,500.1121520996094,-1.2626006603240967,0.0,False,True,False
0.66,500.2777404785156,500.1752624511719,-1.2251852750778198,0.0,False,True,False
0.77,500.3970642089844,500.24981689453125,-1.1812458038330078,0.0,False,True,False
0.88,500.53338623046875,500.3345947265625,-1.1319295167922974,0.0,False,True,False
0.99,500.68023681640625,500.42559814453125,-1.0807584524154663,0.0,False,True,False
1.1,500.84503173828125,500.5274658203125,-1.026666283607483,0.0,False,True,False
1.21,501.02191162109375,500.63641357421875,-0.9726445078849792,0.0,False,True,False
1.32,501.20965576171875,500.75115966796875,-0.9189414978027344,0.0,False,True,False
1.43,501.40740966796875,500.86993408203125,-0.8664087057113647,0.0,False,True,False
1.54,501.61468505859375,500.99072265625,-0.8163294196128845,0.0,False,True,False
1.65,501.8311767578125,501.1111145019531,-0.7699313163757324,0.0,False,True,False
1.76,502.05657958984375,501.2289123535156,-0.7282943725585938,0.0,False,True,False
1.87,502.2906494140625,501.3416748046875,-0.6921267509460449,0.0,False,True,False
1.98,502.5255126953125,501.4444274902344,-0.6611103415489197,0.0,False,True,False
2.09,502.767333984375,501.5392761230469,-0.6327580809593201,0.0,False,True,False
2.2,503.0230407714844,501.62786865234375,-0.6058698296546936,0.0,False,True,False
2.31,503.2847595214844,501.70635986328125,-0.5811682939529419,0.0,False,True,False
2.42,503.5437927246094,501.7723388671875,-0.5592478513717651,0.0,False,True,False
2.53,503.8151550292969,501.82940673828125,-0.5388002991676331,0.0,False,True,False
2.64,504.0985107421875,501.87603759765625,-0.5200775861740112,0.0,False,True,False
2.75,504.3769226074219,501.909423828125,-0.5042142271995544,0.0,False,True,False
2.85,504.6496887207031,501.929931640625,-0.4967365264892578,0.0,False,True,False
2.97,504.93267822265625,501.93792724609375,-0.5040578246116638,0.0,False,True,False
3.08,505.21673583984375,501.93634033203125,-0.495686799287796,0.0,False,True,False
3.19,505.50164794921875,501.92279052734375,-0.4978787302970886,0.0,False,True,False
