time_s,x,y,z,reward,collision,success,attack
0.0,500.0,500.0,-1.4951462745666504,0.0,False,True,False
0.12,500.00091552734375,500.000732421875,-1.4360065460205078,0.0,False,True,False
0.22,500.0090026855469,500.0069885253906,-1.3576164245605469,0.0,False,True,False
0.33,500.0308837890625,500.0237731933594,-1.256150722503662,0.0,False,True,False
0.44,500.0741882324219,500.056640625,-1.160834789276123,0.0,False,True,False
0.56,500.1368713378906,500.1039123535156,-1.0725183486938477,0.0,False,True,False
0.67,500.218017578125,500.1649169921875,-0.9834426045417786,0.0,False,True,False
0.78,500.31903076171875,500.24072265625,-0.888373076915741,0.0,False,True,False
0.88,500.43585205078125,500.3282165527344,-0.7891510128974915,0.0,False,True,False
1.0,500.5671081542969,500.4264831542969,-0.6888589262962341,0.0,False,True,False
1.11,500.7078552246094,500.5316467285156,-0.5988936424255371,0.0,False,True,False
1.22,500.8654479980469,500.6487731933594,-0.5157094597816467,0.0,False,True,False
1.33,501.0299987792969,500.7700500488281,-0.4493602514266968,0.0,False,True,False
1.44,501.2134094238281,500.9031677246094,-0.4288020730018616,0.0,False,True,False
1.55,501.4072265625,501.0416564941406,-0.432430237531662,0.0,False,True,False
1.66,501.60858154296875,501.18341064453125,-0.4380219876766205,0.0,False,True,False
1.76,501.81024169921875,501.322998046875,-0.4427286982536316,0.0,False,True,False
1.87,502.0239562988281,501.4681091308594,-0.44691067934036255,0.0,False,True,False
1.98,502.2432861328125,501.6133728027344,-0.4506196975708008,0.0,False,True,False
2.1,502.4613037109375,501.7542724609375,-0.4538358747959137,0.0,False,True,False
2.2,502.6907958984375,501.8983459472656,-0.4567769169807434,0.0,False,True,False
2.32,502.9249267578125,502.0411071777344,-0.4593740999698639,0.0,False,True,False
2.42,503.15625,502.1781311035156,-0.4616691768169403,0.0,False,True,False
2.54,503.39862060546875,502.31695556640625,-0.4646974503993988,0.0,False,True,False
2.64,503.6454162597656,502.4514465332031,-0.4699037969112396,0.0,False,True,False
2.75,503.88201904296875,502.571533203125,-0.47831016778945923,0.0,False,True,False
2.86,504.13824462890625,502.6891784667969,-0.4923376441001892,0.0,False,True,False
2.97,504.3990783691406,502.7937927246094,-0.509703516960144,0.0,False,True,False
3.08,504.654541015625,502.8857421875,-0.49294137954711914,0.0,False,True,False
3.19,504.913330078125,502.9579162597656,-0.4897870719432831,0.0,False,True,False
3.3,505.1827392578125,503.007568359375,-0.5156090259552002,0.0,False,True,False
3.41,505.444580078125,503.042724609375,-0.5080558657646179,0.0,False,True,False
3.52,505.714111328125,503.060546875,-0.48704907298088074,0.0,False,True,False
