0.0,502.3285217285156,498.8333435058594,-1.5180037021636963,0.0,False,True,False
0.11,502.3799743652344,498.8191833496094,-1.5129072666168213,0.0,False,True,False
0.22,502.4216003417969,498.8192443847656,-1.489120602607727,0.0,False,True,False
0.33,502.4653015136719,498.8359375,-1.4368804693222046,0.0,False,True,False
0.44,502.51318359375,498.87908935546875,-1.377686858177185,0.0,False,True,False
0.55,502.56121826171875,498.94207763671875,-1.323148488998413,0.0,False,True,False
0.66,502.6180419921875,499.03192138671875,-1.2630586624145508,0.0,False,True,False
0.77,502.67742919921875,499.13555908203125,-1.2047005891799927,0.0,False,True,False
0.88,502.74090576171875,499.25177001953125,-1.147552490234375,0.0,False,True,False
0.99,502.81805419921875,499.3952941894531,-1.0839871168136597,0.0,False,True,False
0.0,500.0,500.0,-1.5266201496124268,0.0,False,True,False
0.12,500.0010070800781,500.0007019042969,-1.508660078048706,0.0,False,True,False
0.23,500.0098876953125,500.0065612792969,-1.471510648727417,0.0,False,True,False
0.34,500.0337219238281,500.0219421386719,-1.428357720375061,0.0,False,True,False
0.45,500.0791931152344,500.0508728027344,-1.3884564638137817,0.0,False,True,False
0.56,500.14532470703125,500.0926513671875,-1.3484562635421753,0.0,False,True,False
0.67,500.23638916015625,500.14996337890625,-1.3017189502716064,0.0,False,True,False
0.78,500.340087890625,500.2148742675781,-1.2527774572372437,0.0,False,True,False
0.89,500.4596252441406,500.28955078125,-1.1997413635253906,0.0,False,True,False
1.0,500.59796142578125,500.37567138671875,-1.1422361135482788,0.0,False,True,False
1.11,500.7452697753906,500.46710205078125,-1.0853952169418335,0.0,False,True,False
1.22,500.9093322753906,500.568603515625,-1.0271718502044678,0.0,False,True,False
1.33,501.08441162109375,500.6764221191406,-0.9700310230255127,0.0,False,True,False
1.44,501.2751770019531,500.7926940917969,-0.912368893623352,0.0,False,True,False
1.55,501.4697265625,500.90875244140625,-0.8585126996040344,0.0,False,True,False
1.66,501.66058349609375,501.0190124511719,-0.8108212947845459,0.0,False,True,False
1.77,501.8721618652344,501.135498046875,-0.7641072869300842,0.0,False,True,False
1.88,502.0920715332031,501.24908447265625,-0.7224531769752502,0.0,False,True,False
1.99,502.3131408691406,501.3544616699219,-0.6873287558555603,0.0,False,True,False
2.1,502.5412902832031,501.4534912109375,-0.6560737490653992,0.0,False,True,False
2.2,502.78338623046875,501.5477600097656,-0.626641035079956,0.0,False,True,False
2.31,503.03936767578125,501.6355895996094,-0.5988296270370483,0.0,False,True,False
2.42,503.3013000488281,501.7132873535156,-0.5733699202537537,0.0,False,True,False
2.53,503.5684509277344,501.7803039550781,-0.5502421855926514,0.0,False,True,False
2.64,503.83203125,501.8347473144531,-0.5300118327140808,0.0,False,True,False
2.75,504.0992431640625,501.8783874511719,-0.5119792819023132,0.0,False,True,False
2.86,504.37762451171875,501.9117431640625,-0.4961390495300293,0.0,False,True,False
2.97,504.642333984375,501.9305725097656,-0.49891531467437744,0.0,False,True,False
3.08,504.92535400390625,501.9391784667969,-0.5033388137817383,0.0,False,True,False
3.19,505.19256591796875,501.9383850097656,-0.49494752287864685,0.0,False,True,False
3.3,505.46905517578125,501.9259948730469,-0.49992066621780396,0.0,False,True,False
3.41,505.7460021972656,501.90423583984375,-0.5007189512252808,0.0,False,True,False
3.52,506.00616455078125,501.8764953613281,-0.4941694438457489,0.0,False,True,False
3.63,506.2831115722656,501.8385009765625,-0.49714043736457825,0.0,False,True,False
3.74,506.56024169921875,501.7939758300781,-0.5003799796104431,0.0,False,True,False
3.85,506.82977294921875,501.74639892578125,-0.4928693175315857,0.0,False,True,False
3.96,507.11614990234375,501.69171142578125,-0.4913705885410309,0.0,False,True,False
4.07,507.3863220214844,501.6377868652344,-0.49158865213394165,0.0,False,True,False
4.17,507.656982421875,501.5830993652344,-0.491848349571228,0.0,False,True,False
4.28,507.93695068359375,501.52685546875,-0.4922831952571869,0.0,False,True,False
4.39,508.2178955078125,501.47235107421875,-0.4932290315628052,0.0,False,True,False
4.5,508.4997863769531,501.4209899902344,-0.495045930147171,0.0,False,True,False
4.62,508.7740783691406,501.3754577636719,-0.4979591965675354,0.0,False,True,False
4.72,509.057861328125,501.3343200683594,-0.5017538666725159,0.0,False,True,False
4.83,509.342041015625,501.29937744140625,-0.4929264187812805,0.0,False,True,False
4.94,509.618408203125,501.2746887207031,-0.49754786491394043,0.0,False,True,False
5.05,509.9034118652344,501.25872802734375,-0.5038926005363464,0.0,False,True,False
5.16,510.1881103515625,501.2518005371094,-0.4961322844028473,0.0,False,True,False
5.27,510.4461975097656,501.2568359375,-0.5024029016494751,0.0,False,True,False
5.38,510.7376403808594,501.2728576660156,-0.5008965730667114,0.0,False,True,False
5.49,511.0277099609375,501.30059814453125,-0.4978905916213989,0.0,False,True,False
5.6,511.307861328125,501.3392333984375,-0.5017192363739014,0.0,False,True,False
5.71,511.58642578125,501.3868103027344,-0.49606937170028687,0.0,False,True,False
5.82,511.85498046875,501.4429626464844,-0.5011407136917114,0.0,False,True,False
5.93,512.1224975585938,501.50616455078125,-0.4946363568305969,0.0,False,True,False
6.03,512.3964233398438,501.5791015625,-0.4901323616504669,0.0,False,True,False
6.14,512.6689453125,501.6590881347656,-0.49213385581970215,0.0,False,True,False
6.25,512.9408569335938,501.74420166015625,-0.4937354028224945,0.0,False,True,False
6.36,513.2127685546875,501.8330078125,-0.49437636137008667,0.0,False,True,False
6.47,513.4846801757812,501.924072265625,-0.49440887570381165,0.0,False,True,False
6.58,513.7648315429688,502.0184631347656,-0.4943959712982178,0.0,False,True,False
