time_s,x,y,z,reward,collision,success,attack
0.0,500.0,500.0,-1.4880015850067139,0.0,False,True,False
0.1,500.0004577636719,500.0003356933594,-1.425050973892212,0.0,False,True,False
0.21,500.0094299316406,500.0061950683594,-1.3467934131622314,0.0,False,True,False
0.32,500.03961181640625,500.02545166015625,-1.2809330224990845,0.0,False,True,False
0.44,500.0977783203125,500.062255859375,-1.2424577474594116,0.0,False,True,False
0.55,500.1814270019531,500.11480712890625,-1.216860055923462,0.0,False,True,False
0.66,500.28228759765625,500.17791748046875,-1.1875426769256592,0.0,False,True,False
0.77,500.4042053222656,500.2538146972656,-1.1501792669296265,0.0,False,True,False
0.88,500.5469970703125,500.3424072265625,-1.1051766872406006,0.0,False,True,False
0.99,500.700927734375,500.4375915527344,-1.057119607925415,0.0,False,True,False
1.1,500.8631286621094,500.5376281738281,-1.008548617362976,0.0,False,True,False
1.21,501.0419616699219,500.64752197265625,-0.9580176472663879,0.0,False,True,False
1.32,501.23712158203125,500.76641845703125,-0.905834972858429,0.0,False,True,False
1.43,501.4367370605469,500.88580322265625,-0.8560489416122437,0.0,False,True,False
1.54,501.6457214355469,501.0069580078125,-0.8084973096847534,0.0,False,True,False
1.65,501.8638610839844,501.1272888183594,-0.7644786834716797,0.0,False,True,False
1.76,502.0908508300781,501.24462890625,-0.725127637386322,0.0,False,True,False
1.87,502.3263854980469,501.35662841796875,-0.6909695267677307,0.0,False,True,False
1.98,502.5697937011719,501.4613952636719,-0.6605693101882935,0.0,False,True,False
2.09,502.82037353515625,501.55755615234375,-0.6327135562896729,0.0,False,True,False
2.2,503.06982421875,501.64178466796875,-0.6077229380607605,0.0,False,True,False
2.31,503.3326110839844,501.7184753417969,-0.5839877724647522,0.0,False,True,False
2.43,503.6004638671875,501.7843933105469,-0.5622896552085876,0.0,False,True,False
2.53,503.8646545410156,501.8376770019531,-0.5431965589523315,0.0,False,True,False
2.65,504.13232421875,501.8799743652344,-0.5261197090148926,0.0,False,True,False
2.75,504.4111328125,501.9119567871094,-0.5107174515724182,0.0,False,True,False
2.87,504.6922912597656,501.93218994140625,-0.49752795696258545,0.0,False,True,False
2.98,504.96697998046875,501.9391784667969,-0.49776461720466614,0.0,False,True,False
3.08,505.242919921875,501.9346008300781,-0.5051138997077942,0.0,False,True,False
