time_s,x,y,z,reward,collision,success,attack
0.0,500.0,500.0,-1.493468999862671,0.0,False,True,False
0.1,500.0005187988281,500.0003662109375,-1.4427540302276611,0.0,False,True,False
0.21,500.0083923339844,500.0055236816406,-1.3797858953475952,0.0,False,True,False
0.32,500.0354919433594,500.0229187011719,-1.3227543830871582,0.0,False,True,False
0.43,500.0879211425781,500.0562438964844,-1.2868608236312866,0.0,False,True,False
0.54,500.1634216308594,500.10382080078125,-1.2576539516448975,0.0,False,True,False
0.65,500.2585754394531,500.1634826660156,-1.223974347114563,0.0,False,True,False
0.76,500.3642272949219,500.22943115234375,-1.186544418334961,0.0,False,True,False
0.87,500.49658203125,500.3117980957031,-1.1397923231124878,0.0,False,True,False
0.98,500.64453125,500.4035949707031,-1.0888457298278809,0.0,False,True,False
1.09,500.7966003417969,500.49761962890625,-1.038979411125183,0.0,False,True,False
1.2,500.9598388671875,500.5982360839844,-0.9887977838516235,0.0,False,True,False
1.31,501.12744140625,500.7010498046875,-0.9402990937232971,0.0,False,True,False
1.42,501.31524658203125,500.8147888183594,-0.8892228603363037,0.0,False,True,False
1.53,501.5060729980469,500.927734375,-0.8412705063819885,0.0,False,True,False
1.64,501.7052001953125,501.0416259765625,-0.7959560751914978,0.0,False,True,False
1.75,501.9123840332031,501.15423583984375,-0.7542758584022522,0.0,False,True,False
1.86,502.1274108886719,501.26373291015625,-0.7170660495758057,0.0,False,True,False
1.97,502.3428649902344,501.36505126953125,-0.685547411441803,0.0,False,True,False
2.08,502.56488037109375,501.46026611328125,-0.6571531891822815,0.0,False,True,False
2.19,502.8003234863281,501.5510559082031,-0.6301670074462891,0.0,False,True,False
2.3,503.0339660644531,501.63104248046875,-0.605963408946991,0.0,False,True,False
2.41,503.28033447265625,501.70477294921875,-0.5828573107719421,0.0,False,True,False
2.52,503.5313720703125,501.7690734863281,-0.5616316199302673,0.0,False,True,False
2.63,503.7784423828125,501.8219909667969,-0.5428751111030579,0.0,False,True,False
2.74,504.0531311035156,501.86920166015625,-0.5243946313858032,0.0,False,True,False
2.85,504.33111572265625,501.9046630859375,-0.5081729888916016,0.0,False,True,False
2.95,504.61163330078125,501.92822265625,-0.49499064683914185,0.0,False,True,False
3.06,504.8861083984375,501.9378662109375,-0.5000616908073425,0.0,False,True,False
